topic	label	keywords_json
0	issues, frustrated, billing, resolution, experiencing	"[{""word"": ""issues"", ""score"": 0.03835342824459076}, {""word"": ""frustrated"", ""score"": 0.03507043048739433}, {""word"": ""billing"", ""score"": 0.033651743084192276}, {""word"": ""resolution"", ""score"": 0.030779846012592316}, {""word"": ""experiencing"", ""score"": 0.03068578615784645}, {""word"": ""unclear"", ""score"": 0.028985902667045593}, {""word"": ""seeking"", ""score"": 0.027385728433728218}, {""word"": ""service"", ""score"": 0.02719808928668499}, {""word"": ""charges"", ""score"": 0.025770317763090134}, {""word"": ""unresolved"", ""score"": 0.024852238595485687}]"
1	clarification, increase, seeks, consumption, concerned	"[{""word"": ""clarification"", ""score"": 0.02900235541164875}, {""word"": ""increase"", ""score"": 0.027614209800958633}, {""word"": ""seeks"", ""score"": 0.025893501937389374}, {""word"": ""consumption"", ""score"": 0.023349668830633163}, {""word"": ""concerned"", ""score"": 0.022687308490276337}, {""word"": ""bill"", ""score"": 0.02250937558710575}, {""word"": ""high"", ""score"": 0.021765751764178276}, {""word"": ""unhappy"", ""score"": 0.021535810083150864}, {""word"": ""dewa"", ""score"": 0.021385759115219116}, {""word"": ""compared"", ""score"": 0.020392995327711105}]"
2	assist, overcharges, agent, attempts, suspecting	"[{""word"": ""assist"", ""score"": 0.1112365797162056}, {""word"": ""overcharges"", ""score"": 0.1112365797162056}, {""word"": ""agent"", ""score"": 0.09641744941473007}, {""word"": ""attempts"", ""score"": 0.08159830421209335}, {""word"": ""suspecting"", ""score"": 0.08159830421209335}, {""word"": ""dissatisfied"", ""score"": 0.06963400542736053}, {""word"": ""remains"", ""score"": 0.06963400542736053}, {""word"": ""process"", ""score"": 0.05811053514480591}, {""word"": ""water"", ""score"": 0.04614623263478279}, {""word"": ""unhappy"", ""score"": 0.04420130327343941}]"
3	meters, accounts, expresses, cost, dewa	"[{""word"": ""meters"", ""score"": 0.14208370447158813}, {""word"": ""accounts"", ""score"": 0.14208370447158813}, {""word"": ""expresses"", ""score"": 0.14208370447158813}, {""word"": ""cost"", ""score"": 0.14208370447158813}, {""word"": ""dewa"", ""score"": 0.13975819945335388}, {""word"": ""wants"", ""score"": 0.12315506488084793}, {""word"": ""verify"", ""score"": 0.12315506488084793}, {""word"": ""multiple"", ""score"": 0.11208251118659973}, {""word"": ""dissatisfaction"", ""score"": 0.07422522455453873}, {""word"": ""high"", ""score"": 0.038130369037389755}]"
4	his, incurred, bear, company, feels	"[{""word"": ""his"", ""score"": 0.06969667226076126}, {""word"": ""incurred"", ""score"": 0.06969667226076126}, {""word"": ""bear"", ""score"": 0.06969667226076126}, {""word"": ""company"", ""score"": 0.06969667226076126}, {""word"": ""feels"", ""score"": 0.06969667226076126}, {""word"": ""absence"", ""score"": 0.06969667226076126}, {""word"": ""wrongly"", ""score"": 0.06969667226076126}, {""word"": ""during"", ""score"": 0.06969667226076126}, {""word"": ""believes"", ""score"": 0.06041155755519867}, {""word"": ""responsibility"", ""score"": 0.06041155755519867}]"
5	raise, complaint, patterns, water, unhappy	"[{""word"": ""raise"", ""score"": 0.20310194790363312}, {""word"": ""complaint"", ""score"": 0.16021665930747986}, {""word"": ""patterns"", ""score"": 0.14898672699928284}, {""word"": ""water"", ""score"": 0.0842563584446907}, {""word"": ""unhappy"", ""score"": 0.0807051956653595}, {""word"": ""unexpected"", ""score"": 0.07591930776834488}, {""word"": ""consumption"", ""score"": 0.04393172264099121}, {""word"": ""seeks"", ""score"": 0.03615856170654297}, {""word"": ""electricity"", ""score"": 0.0345650389790535}, {""word"": ""customer"", ""score"": 0.0006078292499296367}]"
6	six, thousand, dirhams, facing, assistance	"[{""word"": ""six"", ""score"": 0.13033749163150787}, {""word"": ""thousand"", ""score"": 0.13033749163150787}, {""word"": ""dirhams"", ""score"": 0.13033749163150787}, {""word"": ""facing"", ""score"": 0.11297370493412018}, {""word"": ""assistance"", ""score"": 0.09002000838518143}, {""word"": ""which"", ""score"": 0.07529556751251221}, {""word"": ""amounts"", ""score"": 0.07265622168779373}, {""word"": ""unexpectedly"", ""score"": 0.06422736495733261}, {""word"": ""issue"", ""score"": 0.05290484428405762}, {""word"": ""seeks"", ""score"": 0.023204192519187927}]"
7	checking, eight, seven, leaks, past	"[{""word"": ""checking"", ""score"": 0.134713813662529}, {""word"": ""eight"", ""score"": 0.134713813662529}, {""word"": ""seven"", ""score"": 0.134713813662529}, {""word"": ""leaks"", ""score"": 0.11676699668169022}, {""word"": ""past"", ""score"": 0.10626878589391708}, {""word"": ""problem"", ""score"": 0.09882017970085144}, {""word"": ""assistance"", ""score"": 0.09304259717464447}, {""word"": ""months"", ""score"": 0.09304259717464447}, {""word"": ""customer"", ""score"": 0.0004031620337627828}, {""word"": ""billing"", ""score"": 0.0002589177747722715}]"
8	charge, 500, feel, believe, related	"[{""word"": ""charge"", ""score"": 0.10756142437458038}, {""word"": ""500"", ""score"": 0.08214988559484482}, {""word"": ""feel"", ""score"": 0.08214988559484482}, {""word"": ""believe"", ""score"": 0.08214988559484482}, {""word"": ""related"", ""score"": 0.08214988559484482}, {""word"": ""have"", ""score"": 0.06480380892753601}, {""word"": ""paid"", ""score"": 0.06480380892753601}, {""word"": ""aed"", ""score"": 0.056738343089818954}, {""word"": ""additional"", ""score"": 0.0514257550239563}, {""word"": ""incorrect"", ""score"": 0.0474577359855175}]"
9	small, living, accuracy, studio, questions	"[{""word"": ""small"", ""score"": 0.14114497601985931}, {""word"": ""living"", ""score"": 0.14114497601985931}, {""word"": ""accuracy"", ""score"": 0.12234139442443848}, {""word"": ""studio"", ""score"": 0.11134199798107147}, {""word"": ""questions"", ""score"": 0.11134199798107147}, {""word"": ""readings"", ""score"": 0.09748440235853195}, {""word"": ""bills"", ""score"": 0.048877838999032974}, {""word"": ""despite"", ""score"": 0.040403787046670914}, {""word"": ""consumption"", ""score"": 0.03053019382059574}, {""word"": ""electricity"", ""score"": 0.024020852521061897}]"
10	deposits, security, policy, refund, customer	"[{""word"": ""deposits"", ""score"": 0.2145807445049286}, {""word"": ""security"", ""score"": 0.2145807445049286}, {""word"": ""policy"", ""score"": 0.2145807445049286}, {""word"": ""refund"", ""score"": 0.2145807445049286}, {""word"": ""customer"", ""score"": 0.000642182189039886}, {""word"": ""seeks"", ""score"": 0.0004124207189306617}, {""word"": ""charges"", ""score"": 0.0004124207189306617}, {""word"": ""clarification"", ""score"": 0.0004124207189306617}, {""word"": ""consumption"", ""score"": 0.0004124207189306617}, {""word"": ""billing"", ""score"": 0.0004124207189306617}]"
11	sees, still, unpaid, possible, paid	"[{""word"": ""sees"", ""score"": 0.1425197869539261}, {""word"": ""still"", ""score"": 0.1425197869539261}, {""word"": ""unpaid"", ""score"": 0.1425197869539261}, {""word"": ""possible"", ""score"": 0.12353304028511047}, {""word"": ""paid"", ""score"": 0.1124265119433403}, {""word"": ""indicating"", ""score"": 0.09843393415212631}, {""word"": ""issue"", ""score"": 0.057849712669849396}, {""word"": ""verification"", ""score"": 0.04435976222157478}, {""word"": ""consumption"", ""score"": 0.030827568843960762}, {""word"": ""bill"", ""score"": 0.012546245940029621}]"
12	levels, despite, seeks, verification, usage	"[{""word"": ""levels"", ""score"": 0.05301039293408394}, {""word"": ""despite"", ""score"": 0.04883242025971413}, {""word"": ""seeks"", ""score"": 0.04704916477203369}, {""word"": ""verification"", ""score"": 0.044272784143686295}, {""word"": ""usage"", ""score"": 0.04337547346949577}, {""word"": ""unexpectedly"", ""score"": 0.042152829468250275}, {""word"": ""bills"", ""score"": 0.03943250700831413}, {""word"": ""consumption"", ""score"": 0.038867637515068054}, {""word"": ""concerned"", ""score"": 0.035494592040777206}, {""word"": ""water"", ""score"": 0.027586739510297775}]"
13	aed, 65, 600, risen, usually	"[{""word"": ""aed"", ""score"": 0.17338106036186218}, {""word"": ""65"", ""score"": 0.1256917119026184}, {""word"": ""600"", ""score"": 0.1256917119026184}, {""word"": ""risen"", ""score"": 0.1256917119026184}, {""word"": ""usually"", ""score"": 0.10894683748483658}, {""word"": ""has"", ""score"": 0.09915171563625336}, {""word"": ""discrepancy"", ""score"": 0.08681131154298782}, {""word"": ""which"", ""score"": 0.07261171191930771}, {""word"": ""customer"", ""score"": 0.00037616133340634406}, {""word"": ""billing"", ""score"": 0.00024157745065167546}]"
14	april, possible, error, receiving, electricity	"[{""word"": ""april"", ""score"": 0.25185784697532654}, {""word"": ""possible"", ""score"": 0.21830490231513977}, {""word"": ""error"", ""score"": 0.1986776888370514}, {""word"": ""receiving"", ""score"": 0.16512472927570343}, {""word"": ""electricity"", ""score"": 0.0004840667243115604}, {""word"": ""seeks"", ""score"": 0.0004840667243115604}, {""word"": ""charges"", ""score"": 0.0004840667243115604}, {""word"": ""clarification"", ""score"": 0.0004840667243115604}, {""word"": ""consumption"", ""score"": 0.0004840667243115604}, {""word"": ""billing"", ""score"": 0.0004840667243115604}]"
15	success, channels, through, trying, claiming	"[{""word"": ""success"", ""score"": 0.1277032345533371}, {""word"": ""channels"", ""score"": 0.1277032345533371}, {""word"": ""through"", ""score"": 0.1277032345533371}, {""word"": ""trying"", ""score"": 0.1277032345533371}, {""word"": ""claiming"", ""score"": 0.1106903925538063}, {""word"": ""without"", ""score"": 0.1106903925538063}, {""word"": ""have"", ""score"": 0.1007385104894638}, {""word"": ""charge"", ""score"": 0.08372564613819122}, {""word"": ""customer"", ""score"": 0.0003821812861133367}, {""word"": ""billing"", ""score"": 0.0002454435743857175}]"
16	portal, missing, address, notifications, email	"[{""word"": ""portal"", ""score"": 0.1207486167550087}, {""word"": ""missing"", ""score"": 0.1207486167550087}, {""word"": ""address"", ""score"": 0.10466227680444717}, {""word"": ""notifications"", ""score"": 0.09525236487388611}, {""word"": ""email"", ""score"": 0.09525236487388611}, {""word"": ""expected"", ""score"": 0.08857592195272446}, {""word"": ""due"", ""score"": 0.083397276699543}, {""word"": ""higher"", ""score"": 0.06975610554218292}, {""word"": ""incorrect"", ""score"": 0.06975610554218292}, {""word"": ""frustrated"", ""score"": 0.032404765486717224}]"
17	account, payment, amount, seek, confused	"[{""word"": ""account"", ""score"": 0.02897719293832779}, {""word"": ""payment"", ""score"": 0.025496162474155426}, {""word"": ""amount"", ""score"": 0.021739978343248367}, {""word"": ""seek"", ""score"": 0.020338214933872223}, {""word"": ""confused"", ""score"": 0.014922778122127056}, {""word"": ""whether"", ""score"": 0.014744085259735584}, {""word"": ""fearing"", ""score"": 0.014744085259735584}, {""word"": ""satisfactory"", ""score"": 0.014744085259735584}, {""word"": ""latest"", ""score"": 0.014744085259735584}, {""word"": ""plan"", ""score"": 0.014744085259735584}]"
18	hessa, short, stay, electric, level	"[{""word"": ""hessa"", ""score"": 0.2578936815261841}, {""word"": ""short"", ""score"": 0.2578936815261841}, {""word"": ""stay"", ""score"": 0.2578936815261841}, {""word"": ""electric"", ""score"": 0.2578936815261841}, {""word"": ""level"", ""score"": 0.2578936815261841}, {""word"": ""residence"", ""score"": 0.2235366255044937}, {""word"": ""unhappy"", ""score"": 0.20445916056632996}, {""word"": ""questions"", ""score"": 0.20343904197216034}, {""word"": ""received"", ""score"": 0.15482251346111298}, {""word"": ""high"", ""score"": 0.06920977681875229}]"
19	meter, adults, household, only, informed	"[{""word"": ""meter"", ""score"": 0.06485091894865036}, {""word"": ""adults"", ""score"": 0.062183983623981476}, {""word"": ""household"", ""score"": 0.062183983623981476}, {""word"": ""only"", ""score"": 0.062183983623981476}, {""word"": ""informed"", ""score"": 0.053899724036455154}, {""word"": ""check"", ""score"": 0.053899724036455154}, {""word"": ""neighbors"", ""score"": 0.053899724036455154}, {""word"": ""technician"", ""score"": 0.04905374348163605}, {""word"": ""having"", ""score"": 0.04905374348163605}, {""word"": ""potential"", ""score"": 0.045615460723638535}]"
