id	topic	doc	weight
15	0	The customer is experiencing issues with electricity bill payment and service disconnection, seeking resolution and clarification on charges.	1.0
18	0	The customer is frustrated with unexpected billing charges and unclear billing cycle information.	1.000000238418579
20	0	The customer is frustrated with recurring billing issues and discrepancies in charges, seeking clarification and resolution.	1.0000001192092896
24	0	The customer is confused and frustrated about an unusually high bill and seeks clarification on the charges.	1.0
25	0	The customer is dissatisfied with a high bill and seeks confirmation and resolution, but the issue remains unresolved.	1.0
34	0	The customer is frustrated with an unusually high bill and suspects a meter issue, seeking resolution.	1.0003173351287842
46	0	The customer is concerned about high billing amounts and seeks clarification on the calculation of charges.	1.0
48	0	The customer is frustrated with the refund process and unclear policy regarding security deposits, expressing dissatisfaction with high bills and unresolved issues.	0.5247635841369629
54	0	The customer is frustrated with billing issues and unclear information regarding the electricity bill amount.	1.000315546989441
55	0	The customer is frustrated with billing issues and service charges, seeking resolution for discrepancies in electricity bills and service fees.	1.0002391338348389
56	0	The customer is frustrated with a high electricity bill and seeks clarification on the charges, expressing dissatisfaction with the unexpected increase.	1.0
57	0	The customer is experiencing issues with high water bills and is frustrated with the lack of resolution and unclear communication regarding the meter and billing process.	1.0
60	0	The customer is frustrated with billing issues and unclear charges, seeking clarification and resolution.	1.0
62	0	The customer is experiencing unexpected high water bills and is concerned about the lack of notification regarding increased consumption.	1.0
65	0	The customer is experiencing issues with billing and payment, specifically regarding an incorrect amount and electricity charges.	1.0
68	0	The customer is experiencing issues with electricity billing, including discrepancies in the amounts and unresolved payment status.	1.0
70	0	The customer is experiencing issues with an increased electricity bill and is seeking clarification on the charges. Despite previous communication, the problem remains unresolved, causing frustration.	1.000048041343689
74	0	The customer is frustrated with a high electricity bill and unresolved issues regarding service charges and account management. Despite multiple attempts to contact support, the problem remains unresolved.	1.0000767707824707
76	0	The customer is concerned about a significant increase in their service bill and suspects incorrect meter readings. They request a consumption verification to resolve the issue.	1.0001695156097412
79	0	The customer is experiencing issues with billing discrepancies and high charges, seeking clarification and resolution.	1.0
84	0	The customer is frustrated with unexpected high electricity bills and unresolved service issues despite contacting customer support.	1.0
86	0	The customer is frustrated with billing discrepancies and unclear charges, seeking resolution for high amounts due.	1.0
93	0	The customer is frustrated with incorrect consumption charges and unresolved billing issues, seeking clarification and resolution.	1.0
99	0	The customer is concerned about high bills and unclear charges, seeking clarification and resolution.	1.0
