topic	label	keywords_json
0	lack, meter, unresolved, remains, frustrated	"[{""word"": ""lack"", ""score"": 0.034365322440862656}, {""word"": ""meter"", ""score"": 0.02761601284146309}, {""word"": ""unresolved"", ""score"": 0.026044748723506927}, {""word"": ""remains"", ""score"": 0.024835705757141113}, {""word"": ""frustrated"", ""score"": 0.022974893450737}, {""word"": ""issues"", ""score"": 0.02284209243953228}, {""word"": ""issue"", ""score"": 0.021437644958496094}, {""word"": ""resolution"", ""score"": 0.02135031297802925}, {""word"": ""bills"", ""score"": 0.0205591581761837}, {""word"": ""experiencing"", ""score"": 0.02010328695178032}]"
1	billing, seeking, charges, unclear, issues	"[{""word"": ""billing"", ""score"": 0.03614840656518936}, {""word"": ""seeking"", ""score"": 0.03516111522912979}, {""word"": ""charges"", ""score"": 0.032338697463274}, {""word"": ""unclear"", ""score"": 0.031843964010477066}, {""word"": ""issues"", ""score"": 0.031604040414094925}, {""word"": ""resolution"", ""score"": 0.0284460186958313}, {""word"": ""frustrated"", ""score"": 0.026084428653120995}, {""word"": ""payment"", ""score"": 0.024661431089043617}, {""word"": ""dissatisfaction"", ""score"": 0.02229429967701435}, {""word"": ""clarification"", ""score"": 0.020057162269949913}]"
2	confirming, resulting, reading, usual, technician	"[{""word"": ""confirming"", ""score"": 0.15515145659446716}, {""word"": ""resulting"", ""score"": 0.15515145659446716}, {""word"": ""reading"", ""score"": 0.13448190689086914}, {""word"": ""usual"", ""score"": 0.13448190689086914}, {""word"": ""technician"", ""score"": 0.1223909854888916}, {""word"": ""due"", ""score"": 0.10715822875499725}, {""word"": ""higher"", ""score"": 0.08963051438331604}, {""word"": ""customer"", ""score"": 0.00046432638191618025}, {""word"": ""consumption"", ""score"": 0.0002981986035592854}, {""word"": ""billing"", ""score"": 0.0002981986035592854}]"
3	six, thousand, dirhams, facing, assistance	"[{""word"": ""six"", ""score"": 0.1303369700908661}, {""word"": ""thousand"", ""score"": 0.1303369700908661}, {""word"": ""dirhams"", ""score"": 0.1303369700908661}, {""word"": ""facing"", ""score"": 0.11297325044870377}, {""word"": ""assistance"", ""score"": 0.09001965075731277}, {""word"": ""which"", ""score"": 0.07529526203870773}, {""word"": ""amounts"", ""score"": 0.07265592366456985}, {""word"": ""unexpectedly"", ""score"": 0.06422711163759232}, {""word"": ""issue"", ""score"": 0.052904631942510605}, {""word"": ""seeks"", ""score"": 0.023204099386930466}]"
4	jumped, 700, 200, around, dubai	"[{""word"": ""jumped"", ""score"": 0.10129784047603607}, {""word"": ""700"", ""score"": 0.10129784047603607}, {""word"": ""200"", ""score"": 0.10129784047603607}, {""word"": ""around"", ""score"": 0.08780276775360107}, {""word"": ""dubai"", ""score"": 0.07990864664316177}, {""word"": ""studio"", ""score"": 0.07990864664316177}, {""word"": ""aed"", ""score"": 0.069963239133358}, {""word"": ""which"", ""score"": 0.058519452810287476}, {""word"": ""significant"", ""score"": 0.04731752350926399}, {""word"": ""unexpected"", ""score"": 0.037865035235881805}]"
5	property, minimal, readings, seek, express	"[{""word"": ""property"", ""score"": 0.09747225791215897}, {""word"": ""minimal"", ""score"": 0.08249099552631378}, {""word"": ""readings"", ""score"": 0.07766810804605484}, {""word"": ""seek"", ""score"": 0.07766810804605484}, {""word"": ""express"", ""score"": 0.07766810804605484}, {""word"": ""incorrect"", ""score"": 0.06496404856443405}, {""word"": ""suspects"", ""score"": 0.06496404856443405}, {""word"": ""dissatisfaction"", ""score"": 0.05874626338481903}, {""word"": ""process"", ""score"": 0.05874626338481903}, {""word"": ""meter"", ""score"": 0.05874626338481903}]"
6	hessa, stay, short, level, residence	"[{""word"": ""hessa"", ""score"": 0.14003205299377441}, {""word"": ""stay"", ""score"": 0.14003205299377441}, {""word"": ""short"", ""score"": 0.14003205299377441}, {""word"": ""level"", ""score"": 0.14003205299377441}, {""word"": ""residence"", ""score"": 0.12137673795223236}, {""word"": ""questions"", ""score"": 0.11046407371759415}, {""word"": ""unhappy"", ""score"": 0.055643558502197266}, {""word"": ""consumption"", ""score"": 0.030289465561509132}, {""word"": ""high"", ""score"": 0.01892445795238018}, {""word"": ""bill"", ""score"": 0.012327248230576515}]"
7	deposits, security, policy, refund, dissatisfaction	"[{""word"": ""deposits"", ""score"": 0.214628204703331}, {""word"": ""security"", ""score"": 0.214628204703331}, {""word"": ""policy"", ""score"": 0.214628204703331}, {""word"": ""refund"", ""score"": 0.214628204703331}, {""word"": ""dissatisfaction"", ""score"": 0.00041253160452470183}, {""word"": ""seeks"", ""score"": 0.0004125119303353131}, {""word"": ""charges"", ""score"": 0.0004125119303353131}, {""word"": ""clarification"", ""score"": 0.0004125119303353131}, {""word"": ""consumption"", ""score"": 0.0004125119303353131}, {""word"": ""billing"", ""score"": 0.0004125119303353131}]"
8	small, living, accuracy, questions, studio	"[{""word"": ""small"", ""score"": 0.14114409685134888}, {""word"": ""living"", ""score"": 0.14114409685134888}, {""word"": ""accuracy"", ""score"": 0.12234063446521759}, {""word"": ""questions"", ""score"": 0.11134131252765656}, {""word"": ""studio"", ""score"": 0.11134131252765656}, {""word"": ""readings"", ""score"": 0.097483791410923}, {""word"": ""bills"", ""score"": 0.0488775335252285}, {""word"": ""despite"", ""score"": 0.04040353745222092}, {""word"": ""consumption"", ""score"": 0.03053000383079052}, {""word"": ""electricity"", ""score"": 0.02402070350944996}]"
9	municipality, dubai, assistance, unhappy, seeks	"[{""word"": ""municipality"", ""score"": 0.09572182595729828}, {""word"": ""dubai"", ""score"": 0.0686609223484993}, {""word"": ""assistance"", ""score"": 0.06010498106479645}, {""word"": ""unhappy"", ""score"": 0.051775164902210236}, {""word"": ""seeks"", ""score"": 0.04612527787685394}, {""word"": ""further"", ""score"": 0.043572798371315}, {""word"": ""suggests"", ""score"": 0.043572798371315}, {""word"": ""unexplained"", ""score"": 0.043572798371315}, {""word"": ""newly"", ""score"": 0.043572798371315}, {""word"": ""purchased"", ""score"": 0.043572798371315}]"
