id	topic	x	y
0	21	-0.7386174	0.15273371
1	6	0.108806476	-0.099008
2	32	0.11136775	-0.10250726
3	21	-0.73866075	0.1529087
4	21	-0.7385321	0.15307902
5	21	-0.7386608	0.1529087
6	21	-0.73853153	0.15307972
7	0	0.28052574	-0.79628843
8	21	-0.7386608	0.15290862
9	15	0.14044034	-0.14637597
10	27	0.111347996	-0.10246452
11	17	0.108806424	-0.09900788
12	21	-0.73852247	0.15309164
13	0	0.28061438	-0.7961713
14	15	0.14042558	-0.14631659
15	1	0.6098562	0.5701722
16	27	0.11131152	-0.10231775
17	1	0.6097947	0.569708
18	1	0.60987365	0.5701953
19	1	0.6097559	0.5698647
20	1	0.6098813	0.5702054
21	9	0.12430755	-0.1102555
22	21	-0.73866075	0.15290868
23	34	0.12578894	-0.12281375
24	24	0.11155787	-0.10198095
25	0	0.28052574	-0.7962884
26	16	0.10880646	-0.099007875
27	1	0.60976654	0.569821
28	21	-0.73866075	0.15290868
29	13	0.10959925	-0.10211258
30	21	-0.7386608	0.1529087
31	21	-0.7386608	0.1529087
32	21	-0.7386608	0.15290864
33	33	0.108851194	-0.0991897
34	0	0.280581	-0.79651076
35	1	0.60977685	0.5697796
36	1	0.6097428	0.5699177
37	21	-0.7386608	0.1529087
38	34	0.12578894	-0.12281375
39	1	0.60976404	0.5698311
40	1	0.60987216	0.5701934
41	21	-0.7385465	0.15305988
42	21	-0.7386608	0.1529087
43	21	-0.7386159	0.15272793
44	21	-0.7384892	0.15313587
45	0	0.25715107	-0.701355
46	0	0.28052583	-0.79628843
47	21	-0.7386608	0.1529087
48	1	0.37244543	0.2554224
49	1	0.60972303	0.56999606
50	21	-0.7386608	0.15290871
51	36	0.11393693	-0.10583826
52	9	0.12448041	-0.11002682
53	21	-0.7386608	0.1529087
54	1	0.609778	0.56977504
55	1	0.6097647	0.5698286
56	1	0.60972303	0.56999606
57	0	0.28061533	-0.79617
58	21	-0.7386038	0.15267946
59	0	0.28052574	-0.79628843
60	1	0.60972303	0.56999606
61	1	0.60972303	0.56999606
62	0	0.2805257	-0.7962884
63	34	0.12578894	-0.12281375
64	20	0.11143332	-0.10214895
65	1	0.609723	0.56999594
66	21	-0.7386609	0.1529089
67	21	-0.7386608	0.1529087
68	1	0.60972303	0.56999606
69	39	0.108831465	-0.09910958
70	0	0.28060493	-0.7962277
71	9	0.12444018	-0.11008005
72	21	-0.7386608	0.1529087
73	21	-0.7386608	0.1529087
74	0	0.28052583	-0.79628855
75	28	0.10883105	-0.09910781
76	0	0.28055537	-0.79640764
77	34	0.12582193	-0.12294642
78	21	-0.7386608	0.1529087
79	1	0.6099169	0.5702525
80	10	0.10880655	-0.09900797
81	20	0.11131339	-0.102307536
82	21	-0.7386216	0.15275069
83	11	0.10883119	-0.09910853
84	0	0.280643	-0.7961332
85	3	0.10883363	-0.099118374
86	1	0.60972303	0.56999606
87	19	0.11151434	-0.102039546
88	14	0.10886551	-0.09924774
89	21	-0.73866075	0.1529087
90	34	0.12578894	-0.12281375
91	21	-0.7386608	0.1529087
92	0	0.2805257	-0.7962884
93	1	0.60972303	0.56999606
94	21	-0.73845917	0.15317541
95	15	0.14043546	-0.14635657
96	4	0.108827144	-0.099092
97	9	0.12430755	-0.1102555
98	1	0.60986096	0.5701785
99	1	0.60972303	0.56999606
100	0	0.28052574	-0.7962883
101	0	0.2805257	-0.7962883
102	25	0.11135799	-0.10250519
103	1	0.6097231	0.5699962
104	0	0.2805257	-0.7962884
105	9	0.30967686	0.14940584
106	21	-0.73853654	0.1530731
107	15	0.1404609	-0.14616601
108	0	0.28063527	-0.7961434
109	1	0.60972303	0.56999606
110	25	0.11131187	-0.10231908
111	15	0.14064968	-0.14591622
112	0	0.20540784	-0.49360257
113	0	0.28056964	-0.79646504
114	15	0.14054476	-0.14605507
115	1	0.6098186	0.5701224
116	1	0.6098186	0.5701224
117	18	0.108806446	-0.09900792
118	0	0.28063476	-0.7962054
119	0	0.2805257	-0.7962884
120	1	0.6097654	0.5698255
121	12	0.108806476	-0.099007875
122	35	0.111310795	-0.10231334
123	19	0.11140234	-0.10218766
124	15	0.14040613	-0.14623846
125	9	0.12435349	-0.1101947
126	1	0.60972303	0.56999606
127	22	0.10880644	-0.09900792
128	1	0.6097231	0.5699961
129	0	0.28052574	-0.7962884
130	0	0.28062007	-0.7962087
131	0	0.2805257	-0.79628855
132	21	-0.7384494	0.15318838
133	30	0.108866036	-0.09892828
134	21	-0.7386608	0.15290867
135	21	-0.7386608	0.1529087
136	1	0.6097602	0.5698465
137	21	-0.73856574	0.1525266
138	21	-0.7386608	0.1529087
139	21	-0.7386608	0.1529087
140	21	-0.73846906	0.15316236
141	21	-0.7386609	0.15290874
142	15	0.14040613	-0.14623846
143	15	0.1404061	-0.14623846
144	1	0.60972303	0.56999606
145	36	0.11409957	-0.10562308
146	15	0.14040613	-0.14623846
147	34	0.12586755	-0.122709766
148	15	0.14040741	-0.1462432
