"document","topic","gamma"
"A Damsel in Distress",3,0.631595012033478
"A Damsel in Distress",5,0.368402208259006
"A Damsel in Distress",4,6.94926881816341e-07
"A Damsel in Distress",6,6.9492687975347e-07
"A Damsel in Distress",2,6.94926879393821e-07
"A Damsel in Distress",1,6.94926875739533e-07
"Indiscretions of Archie",5,0.99999635786162
"Indiscretions of Archie",6,7.28427676793405e-07
"Indiscretions of Archie",4,7.28427676405631e-07
"Indiscretions of Archie",2,7.28427676202417e-07
"Indiscretions of Archie",1,7.28427676072498e-07
"Indiscretions of Archie",3,7.28427675091058e-07
"Love Among the Chickens",6,0.99950309848479
"Love Among the Chickens",1,0.000492517672815144
"Love Among the Chickens",4,1.0959605996174e-06
"Love Among the Chickens",5,1.09596059938764e-06
"Love Among the Chickens",2,1.09596059936966e-06
"Love Among the Chickens",3,1.09596059711739e-06
"Piccadilly Jim",3,0.999996666098331
"Piccadilly Jim",5,6.66780337758769e-07
"Piccadilly Jim",6,6.66780335451252e-07
"Piccadilly Jim",1,6.66780334177643e-07
"Piccadilly Jim",2,6.66780333613221e-07
"Piccadilly Jim",4,6.66780328468233e-07
"Psmith in the City",6,0.999995003777614
"Psmith in the City",5,9.99244479403852e-07
"Psmith in the City",1,9.99244478692944e-07
"Psmith in the City",2,9.99244477315769e-07
"Psmith in the City",4,9.99244476688435e-07
"Psmith in the City",3,9.99244474124737e-07
"Psmith, Journalist",6,0.999995558910467
"Psmith, Journalist",4,8.88217907155806e-07
"Psmith, Journalist",5,8.8821790681535e-07
"Psmith, Journalist",3,8.88217906550578e-07
"Psmith, Journalist",1,8.88217906409075e-07
"Psmith, Journalist",2,8.88217906174405e-07
"Something New",2,0.999996442672471
"Something New",5,7.11465507146635e-07
"Something New",6,7.11465506861447e-07
"Something New",4,7.11465505448236e-07
"Something New",1,7.1146550530735e-07
"Something New",3,7.11465504263199e-07
"The Intrusion of Jimmy",4,0.999996080537114
"The Intrusion of Jimmy",5,7.83892578601479e-07
"The Intrusion of Jimmy",6,7.83892577572525e-07
"The Intrusion of Jimmy",2,7.83892577332271e-07
"The Intrusion of Jimmy",1,7.83892577269119e-07
"The Intrusion of Jimmy",3,7.8389257523121e-07
"The Little Nugget",2,0.94344296705104
"The Little Nugget",3,0.0565538057384282
"The Little Nugget",4,8.0680263437793e-07
"The Little Nugget",5,8.06802632882341e-07
"The Little Nugget",6,8.06802632761699e-07
"The Little Nugget",1,8.06802632052996e-07
"The Man Upstairs and Other Stories",1,0.999997364250102
"The Man Upstairs and Other Stories",3,5.2714998144919e-07
"The Man Upstairs and Other Stories",6,5.27149979907217e-07
"The Man Upstairs and Other Stories",2,5.27149979266633e-07
"The Man Upstairs and Other Stories",5,5.27149978966613e-07
"The Man Upstairs and Other Stories",4,5.27149978424651e-07
"Three Men and a Maid",1,0.999995095665364
"Three Men and a Maid",4,9.80866928210643e-07
"Three Men and a Maid",2,9.80866928080595e-07
"Three Men and a Maid",6,9.80866927851245e-07
"Three Men and a Maid",5,9.80866926288157e-07
"Three Men and a Maid",3,9.80866925413385e-07
"Uneasy Money",4,0.999995778956777
"Uneasy Money",2,8.44208645443458e-07
"Uneasy Money",1,8.44208644939468e-07
"Uneasy Money",6,8.44208644866979e-07
"Uneasy Money",5,8.44208644520471e-07
"Uneasy Money",3,8.44208642838536e-07
